domain,is_dga
dxveuu-km.ru,0
bellkrolik.ru,0
livetvstatic.ru,0
qyn73rku0zr.ru,1
ipvanish.com,0
dsva63.net,0
percko.com,0
nic.mckinsey,0
kelas6.ru,0
harborcdn.com,0
promobanner.app,0
oyzehh5ucgeu7fio-h5inn.ru,0
qbufktczpbuxvp.com,1
xoktqdhvkgvycb1qervtvwv.ru,1
ler4mv2k6ak1o2u8nhxqnwu.ru,1
ognqguvwasfl4t.ru,1
zhddboao.ru,1
holmescc.edu,0
searchquarry.com,0
vwdd7lo.com,0
gkzup.ru,1
zlvviopaly1zt6tl-.com,1
djplomu-v-ruki.ru,0
iwqwip.com,1
dydata.io,0
naa1xb7zzy5go.cc,1
blog.youtube,0
srpkgtkecnf.tv,1
8978106.com,0
off-vulkan-24.ru,0
pokerdomru.ru,0
tcw5vq.com,0
dtn.ru,0
kkmoo.co,0
infotecfsa.com.br,0
qadwl7bq0nff.com,1
swhyhk.com,1
2rusvulkan.com.ru,0
novoctroika.ru,0
v1b5vi.com,0
fc5bc-ut.com,0
xqptfukcb.watch,1
discoverdaze.com,0
tqi9zrwwho.ru,1
bonuscasino2022.ru,0
zolotoy.ru,0
kova.gl,0
texosmotr-auto.ru,0
uv715qw8iyyhuroy.de,1
anars.ir,0
zaim-on-line.ru,0
ihvjj.online,1
casinobazar.ru,0
ux5uagyjikh.ru,1
app-1win18.ru,0
fvnq.ru,1
hjjpqphyzszcbi.net,1
bfuaokd.com,1
1ti.ru,0
ukts02vl6.ai,1
giijoirckpx.ru,0
mbas6yvh0dt0jb.de,1
ik9w0qyqtt7.cat,1
lgdmpf4dn3kuq.ru,1
schaefers-backstuben.de,0
registratsia-forum.ru,1
lpfngcla9fprnp.top,1
bas-ip.ru,0
play-casino-x2.ru,0
injzglmybomnhvenmcjje.ru,1
drawdoo.com,0
gibdev.ru,0
grupogtd.com,0
presents.ru,0
vavadar4.ru,0
hdhub4u.ist,0
bqgnn.com,1
roxcasino-add4.ru,0
qi1pco.com.cn,0
aviator-1.ru,0
aiezq.ru,1
lhu.edu.vn,0
srmax.com,0
ctdl.ru,0
miniobzor.ru,0
goldfishka26.ru,0
schweik.ru,0
dashworks.ai,0
ejumzr.com,1
kprcomkzgomtfn8c.ru,1
makeright.ru,0
m16ok1.us,0
yunicom.ru,0
hcfdydjfkl.com,1
selfpub.ru,0
msennik.pl,0
squ4q6d.ru,1
money9.com,0
sp6l8fmtlirgk.ru,1
n4kbu9gvzmpedsoe6roenkhr.ru,1
atkvwni.ru,1
riobet-2024-1.ru,0
metallurg.ru,0
d40vrdujzox.ru,1
gmlinteractive.com,0
kinolandqqqqq.site,1
osrwu-oww8wtp-.xyz,0
zds.dev,0
2dxx71euji.ru,1
vheyygg7gd3z811jakvndp8t3jrl.ru,1
zv9eswxgb.com,1
zqdajml.com,1
xpgqm5ldmf6d.com,1
zhuangziweidao.com,0
ces5fwmio8t.ru,1
velocitynet.com.br,0
nlsdwddoft.ru,1
rtlabs.ru,0
newport.se,0
roxfirecasino.ru,0
sr1uyv48gla0hh3.com,1
es8terkhsr.ru,0
stroyteh21.ru,0
irqmp.ru,1
chooseyourcareer.ru,0
xnlaigvh.ru,1
r2wiki.ru,0
topratingcazino.ru,0
msmena.ru,0
pxdsdcx.org,1
oe52yjhj7s7g10u046a.ru,1
rasvetnt.ru,0
mqtnhcipv.com,1
hzbhupp2trw.ru,1
kazinofaraononline.ru,0
riobet-emates9.ru,0
amiy5zl0yozcxo4.top,1
sketchup.com,0
dekonix.ru,0
textrahost.in,0
nmixy6o.com,1
yiye.ai,0
xnw2a5.ru,0
trudspr2ndfl5.ru,0
ll3mpq4ljng.app,1
theorganicproteincompany.co.uk,1
gqbbf5r.ru,1
suntell.com,0
genericshop24.ru,0
oxzn0lzxveeap.ru,1
melp.life,0
njcomputergroup.com,0
lr2019.ru,0
qku2llf2.ru,1
ln2skkjeg5gdz.pro,1
zlw5mdjyu6hi.ru,1
rox-casino-azbuk1.ru,0
bxvbfrhb.com,1
tiwmgbzkbjtgm.ru,1
hpifnad.ru,0
rusalka-market.ru,0
je.ru,0
ki89k-.ru,0
flv3vxe3.ru,0
mfitness.ru,0
tpyk.ru,0
q16yd--1xb.com,0
tofabon.com,0
quokiksdoqk9ah4.ru,1
vozmiprava-prof.ru,0
gohawaii.ru,1
kinotree.ru,0
nablagoo.ru,0
casino2021.net,0
cssr2gc.ru,0
bassboombang.ru,0
gglzkupzuav5vv3zk.ru,1
hwuilultqzklnyxd.ru,1
kettering.edu,0
atomecorp.com,0
m75-xcat.ru,0
ncmeq9r0.ru,1
zdy-rdeg.ru,0
v688yshjl.com,0
z3qkxerbl7b.ru,1
primaryarms.com,0
f9nohltmk.ru,1
g3ydviukvjygauyzp.ru,1
kit-iphone.ru,0
zxbjc5k48.ru,1
lx3-f.ru,0
wsfiyd.info,0
medtehnika72.ru,0
brand-msk.ru,0
downloadvideosfrom.com,0
aquaticum.hu,0
winwinbox.ru,0
hogwartsmarketplace.ru,0
up22w-z.ru,0
l11y0wlv.club,0
mmhlmtzkiuz.ru,1
rigudzctvsu.com,1
x8hpr6qj.ru,1
aa.edu,0
p2iglyi7l9.ru,1
vwhyqsx.com,1
vxvi.services,0
gazsk.ru,0
prava-voditelskie-online-zdes.ru,0
eleon-online.ru,0
yt5r2-ugfwpz.ru,0
qmzishiyf.mx,1
selector-cazinoz.com,0
hlxmkhbg.ru,1
needs-wants.com,0
at1m2pd1lv1v9njdzhca6kjncnekpxn.ru,1
bogner.com,0
vidmate-official.com,0
hetnylgkujnqrc.net,1
kinohakaton.ru,0
fjsmueq.de,1
kudo.co.id,0
yko0sdth.net,1
mrruic6ct.com,1
petelegante.com.br,0
tp-adrea.net,0
d9b5apltbiqb.ru,1
edl11as.xyz,0
sbank-gid.ru,0
inesem.es,0
rayanaria.com,0
z1he-ur.ru,0
arhangelsk-sofosbuvir.ru,0
sancho-pancho.store,0
gmaokrakikdfn.ru,1
t8spvlj81cgxxa08gak.com,1
rotor24.ru,0
mymro.com,0
mevkp.ru,0
yn1ict.fr,0
eju.ru,0
z3sf.org,0
luzlbqz7zfqplbzk90lx5.ru,1
trumptruths.org,0
qs.cn,0
lanhsc7l50.net,0
webfactory.co.uk,0
pt4yi0l5y.com,1
pokerdomcashcazino.ru,0
alkonapitkoff193.ru,0
